identifier,trade_update_date,run_date,vessel_name,port_of_unlading,estimated_arrival_date,foreign_port_of_lading,record_status_indicator,place_of_receipt,port_of_destination,foreign_port_of_destination,secondary_notify_party_1,actual_arrival_date,consignee_name,consignee_address,consignee_contact_name,consignee_comm_number_qualifier,consignee_comm_number,shipper_party_name,shipper_address,shipper_contact_name,shipper_comm_number_qualifier,shipper_comm_number,container_number,description_sequence_number,piece_count,description_text,harmonized_number,harmonized_value,harmonized_weight,harmonized_weight_unit
2017021744311,2017-02-08T00:00:00,2017-02-17T00:00:00,CHALLENGE PRELUDE,"Anchorage, Alaska",2017-02-10T00:00:00,"Luda,China (Mainland)",New,NONE,,,,2017-02-14T00:00:00,TO ORD OF AGRICULTURAL BANK OF CHIN,"SINGAPORE BRANCH 7 TEMASAK BOULEVARD,SUNTEC CITY TOW   SINGAPORE   SG",,,,PETROCHINA INTERNATIONAL NORTHEAST,"14-15TH FL WANDA BLDG. NO. 18 HONGDA ROAD, ZHONGSHAN DIST   DALIAN   CN",,,,NC,1,1,220864 US BBL JET A-1,,,,
2017021551531,2017-02-14T00:00:00,2017-02-15T00:00:00,AQUATRAIN,"Anchorage, Alaska",2017-02-06T00:00:00,"Prince Rupert, BC ,Canada",Amended,PRINCE RUPERT,,,,2017-02-07T00:00:00,HALLIBURTON ENERGY SERVICES INC,1429 MINNIE ST    FAIRBANKS AK  US,,,,CALUMET PENRECO LLC,2200 OLD SPANISH TRL    WEST LAKE LA  US,,,,GATX79759,1,1,"OIL, PETROLEUM",,,,
2017020856736,2017-01-20T00:00:00,2017-02-08T00:00:00,DUNEDIN STAR,"Anchorage, Alaska",2017-02-05T00:00:00,"Pusan,South Korea",New,"BUSAN, KOREA",,,,2017-02-07T00:00:00,AMERICAN SEAFOODS COMPANY,"2025 FIRST AVE SUITE 900 SEATTLE, WA 98121",,Telephone Number,206-448-0300,"ARA LOGISTICS CO., LTD.","RM 505 MARKET HALL BUSAN INTER FISH MARKET B/D #35 WONGYANG-RO, BUSAN, KOREA",,Telephone Number,82-51-253-3007,NC,1,16,40FT EMPTY CONTAINER (OOCL) 20FT EMPTY CONTAINER (ASC),,,,
2017020869061,2017-01-30T00:00:00,2017-02-08T00:00:00,AQUATRAIN,"Anchorage, Alaska",2017-02-06T00:00:00,"Prince Rupert, BC ,Canada",New,PRINCE RUPERT,,,,2017-02-07T00:00:00,AMERIGAS PROPANE LP,20810 BIRCHWOOD SPUR ROAD    BIRCHWOOD AK 99999 US,,,,PLAINS MIDSTREAM CANADA ULC,11010 125 STREET    SCOTFORD BC 029699 CA,,,,PROX33606,1,1,LIQUEFIED PETROLEUM GAS,,,,
2017020869064,2017-01-30T00:00:00,2017-02-08T00:00:00,AQUATRAIN,"Anchorage, Alaska",2017-02-06T00:00:00,"Prince Rupert, BC ,Canada",New,PRINCE RUPERT,,,,2017-02-07T00:00:00,BUILDERS CHOICE INC,351 EAST 104TH AVENUE    ANCHORAGE AK 99503 US,,,,,,,,,TBOX670152,1,58,"ORIENTED STRAND BOARD, NEC",,,,
2017021835876,2017-01-27T00:00:00,2017-02-18T00:00:00,APL KOREA,"Anchorage, Alaska",2017-02-17T00:00:00,"Pusan,South Korea",New,"BUSAN-PNIT,PUS,KO",,,,2017-02-17T00:00:00,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APRU5770736,1,1,EMPTY CONTAINER,,,,
2017021835876,2017-01-27T00:00:00,2017-02-18T00:00:00,APL KOREA,"Anchorage, Alaska",2017-02-17T00:00:00,"Pusan,South Korea",New,"BUSAN-PNIT,PUS,KO",,,,2017-02-17T00:00:00,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APRU5791786,1,1,EMPTY CONTAINER,,,,
2017021835876,2017-01-27T00:00:00,2017-02-18T00:00:00,APL KOREA,"Anchorage, Alaska",2017-02-17T00:00:00,"Pusan,South Korea",New,"BUSAN-PNIT,PUS,KO",,,,2017-02-17T00:00:00,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APL,"16220 N. SCOTTSDALE ROAD SUITE 300 SCOTTSDALE, AZ 85254",,,,APRU5825016,1,1,EMPTY CONTAINER,,,,
2017021823961,2017-02-16T00:00:00,2017-02-18T00:00:00,APL KOREA,"Anchorage, Alaska",2017-02-17T00:00:00,"Pusan,South Korea",New,"BUSAN-PNIT, PUSAN",,,,2017-02-17T00:00:00,SEAFREEZE LTD.,"100 DAVISVILLE PIER NORTH,KINGSTOWN RHODE ISLAND, 02852, U.S.A. IDF# 16221393744",,Telephone Number,TEL 401-295-2585 FAX 401-295-5825,YOUCHAN CORPORATION,"ADD  981, JUNGANGDAE-RO, BUSANJIN-G BUSAN, KOREA  YANGJEONG-DONG, CITYHALL CENTVILL, RM#1027",,Telephone Number,ZIP CODE  47209,APRU5768214,1,2150,FROZEN PACIFIC SAURY -FOR BAIT- ---FREIGHT PREPAID---,,,,
2017021823961,2017-02-16T00:00:00,2017-02-18T00:00:00,APL KOREA,"Anchorage, Alaska",2017-02-17T00:00:00,"Pusan,South Korea",New,"BUSAN-PNIT, PUSAN",,,,2017-02-17T00:00:00,SEAFREEZE LTD.,"100 DAVISVILLE PIER NORTH,KINGSTOWN RHODE ISLAND, 02852, U.S.A. IDF# 16221393744",,Telephone Number,TEL 401-295-2585 FAX 401-295-5825,YOUCHAN CORPORATION,"ADD  981, JUNGANGDAE-RO, BUSANJIN-G BUSAN, KOREA  YANGJEONG-DONG, CITYHALL CENTVILL, RM#1027",,Telephone Number,ZIP CODE  47209,SZLU9641409,1,2150,FROZEN PACIFIC SAURY -FOR BAIT- ---FREIGHT PREPAID---,,,,
