PORT,LONGITUDE,LATITUDE,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS
C2253,-90.61794,30.03345,"South Louisiana, LA, Port of","261,898,079","137,628,829","124,269,250","39,341,620","84,927,630"
C2012,-95.293679,29.747023,"Houston, TX","247,981,663","83,995,976","163,985,687","69,109,888","94,875,799"
C0398,-74.038357,40.673949,"New York, NY and NJ","133,396,832","47,278,201","86,118,631","68,406,550","17,712,081"
C2251,-90.085256,29.91414,"New Orleans, LA","90,270,859","48,925,046","41,345,813","18,928,842","22,416,971"
C2395,-94.088112,30.087163,"Beaumont, TX","84,528,063","36,269,149","48,258,914","29,180,940","19,077,974"
C2423,-97.39789,27.81277,"Corpus Christi, TX","81,981,061","32,570,498","49,410,563","23,352,732","26,057,831"
C4110,-118.2095,33.73957,"Long Beach, CA","77,813,233","10,403,764","67,409,469","45,302,472","22,106,997"
C2252,-91.19934,30.42292,"Baton Rouge, LA","72,998,561","43,439,533","29,559,028","8,150,521","21,408,507"
C4120,-118.241,33.77728,"Los Angeles, CA","62,615,644","6,329,811","56,285,833","37,127,254","19,158,579"
C2005,-88.04113,30.72527,"Mobile, AL","58,024,317","22,805,218","35,219,099","21,199,530","14,019,569"
C2255,-89.687447,29.480004,"Plaquemines, LA, Port of","56,780,632","33,320,297","23,460,335","3,319,142","20,141,193"
C2254,-93.286839,30.106406,"Lake Charles, LA","56,045,838","26,584,028","29,461,810","19,541,191","9,920,619"
C5700,-76.31174,36.86642,"Virginia, VA, Port of","54,047,937","5,364,805","48,683,132","11,440,398","37,242,734"
I2338,-84.5045,39.09403,"Cincinnati-Northern KY, Ports of","43,050,399","43,050,399",0,0,0
C2404,-94.918091,29.363068,"Texas City, TX","41,260,475","14,416,567","26,843,908","13,268,756","13,575,152"
C0700,-76.51712,39.20899,"Baltimore, MD","38,837,979","6,974,729","31,863,250","14,134,738","17,728,512"
I2348,-82.41998,38.43361,Huntington - Tristate,"37,401,755","37,401,755",0,0,0
C0776,-81.095382,32.084711,"Savannah, GA","36,443,795","1,182,897","35,260,898","18,501,007","16,759,891"
C2021,-82.52235,27.78534,"Tampa, FL","35,318,559","21,816,825","13,501,734","7,920,317","5,581,417"
C2416,-93.96069,29.83142,"Port Arthur, TX","35,198,425","8,674,684","26,523,741","9,011,412","17,512,329"
I2310,-90.22961,38.56954,"St. Louis, MO and IL","32,150,906","32,150,906",0,0,0
L3924,-92.096408,46.778362,"Duluth-Superior, MN and WI","30,277,995","22,644,517","7,633,478","425,767","7,207,711"
C4816,-146.3464,61.12473,"Valdez, AK","27,652,208","27,157,750","494,458",0,"494,458"
C2004,-88.55879,30.34802,"Pascagoula, MS","26,876,394","9,526,772","17,349,622","9,057,753","8,291,869"
C4720,-122.4515,47.28966,"Tacoma, WA","25,711,848","4,531,547","21,180,301","8,342,898","12,837,403"
C4350,-122.374233,37.924237,"Richmond, CA","24,679,148","9,035,708","15,643,440","12,030,614","3,612,826"
C2163,-80.117801,26.093392,"Port Everglades, FL","24,227,425","12,138,824","12,088,601","7,933,647","4,154,954"
C4722,-122.359218,47.587711,"Seattle, WA","24,204,009","6,320,802","17,883,207","7,598,198","10,285,009"
C0773,-79.921595,32.788781,"Charleston, SC","23,015,503","2,050,894","20,964,609","13,173,818","7,790,791"
C0552,-75.202191,39.91882,"Philadelphia, PA","22,973,188","11,218,865","11,754,323","10,827,584","926,739"
I2358,-80.01612,40.44234,"Pittsburgh, PA","22,467,462","22,467,462",0,0,0
C4644,-122.6653,45.47881,"Portland, OR","20,474,462","7,857,017","12,617,445","2,259,345","10,358,100"
C2408,-95.3707,28.96133,"Freeport, TX","19,635,949","4,835,510","14,800,439","10,229,725","4,570,714"
C4345,-122.3081,37.82152,"Oakland, CA","19,051,970","1,963,648","17,088,322","7,200,556","9,887,766"
C2017,-81.665125,30.322757,"Jacksonville, FL","18,519,505","7,641,108","10,878,397","8,914,459","1,963,938"
C5252,-75.22655,39.82689,"Paulsboro, NJ","18,469,855","7,291,368","11,178,487","8,801,827","2,376,660"
C0149,-71.05229,42.350939,"Boston, MA","17,183,060","4,969,131","12,213,929","10,476,553","1,737,376"
L3749,-87.63799,41.88662,"Chicago, IL","16,423,651","14,666,987","1,756,664","1,756,664",0
C5251,-75.40424,39.81544,"Marcus Hook, PA","15,692,302","9,363,068","6,329,234","5,181,595","1,147,639"
L3926,-91.66261,47.00428,"Two Harbors, MN","15,431,524","15,080,841","350,683",0,"350,683"
C4626,-122.8628,46.02048,"Kalama, WA","15,370,094","1,172,774","14,197,320","377,572","13,819,748"
C4420,-157.8717,21.31111,"Honolulu, HI","13,727,392","12,419,163","1,308,229","980,570","327,659"
L3321,-83.109586,42.269094,"Detroit, MI","13,266,629","10,543,838","2,722,791","2,589,410","133,381"
C4622,-122.914,46.14222,"Longview, WA","13,147,350","1,318,648","11,828,702","332,423","11,496,279"
L3217,-81.67191,41.47852,"Cleveland, OH","12,422,548","10,782,162","1,640,386","1,336,918","303,468"
L3738,-87.44547,41.67586,"Indiana Harbor, IN","12,216,800","12,029,614","187,186","187,186",0
I2294,-90.06198,35.18177,"Memphis, TN","12,184,332","12,184,332",0,0,0
C2136,-66.16667,18.66667,"San Juan, PR","10,686,817","4,823,788","5,863,029","5,309,223","553,806"
C4730,-122.59961,48.495943,"Anacortes, WA","10,682,558","8,317,193","2,365,365","208,986","2,156,379"
C0299,-75.56158,39.65668,"New Castle, DE","10,595,745","5,212,278","5,383,467","4,989,355","394,112"
C4458,-158.1089,21.29723,"Barbers Point, Oahu, HI","10,225,588","2,979,616","7,245,972","6,483,123","762,849"
C2417,-94.8127,29.31049,"Galveston, TX","9,880,157","4,970,549","4,909,608","1,657,630","3,251,978"
C1507,-72.90473,41.29883,"New Haven, CT","9,780,119","7,190,961","2,589,158","2,365,253","223,905"
C4636,-122.6806,45.62244,"Vancouver, WA","9,359,385","1,218,256","8,141,129","1,303,063","6,838,066"
L3845,-87.385166,46.577367,"Presque Isle, MI","8,789,657","7,324,165","1,465,492",0,"1,465,492"
L3739,-87.15521,41.64325,"Burns Waterway Harbor, IN","8,595,269","7,330,853","1,264,416","1,264,344",72
C1910,-90.205279,29.121945,"Port Fourchon, LA","8,539,173","8,390,272","148,901","15,400","133,501"
L3204,-83.50751,41.66294,"Toledo, OH","8,393,140","3,096,903","5,296,237","1,593,371","3,702,866"
L3736,-87.32513,41.61202,"Gary, IN","8,206,098","8,067,502","138,596","138,596",0
C0191,-71.39844,41.81178,"Providence, RI","8,064,097","3,789,919","4,274,178","3,647,532","626,646"
C2164,-80.181642,25.782862,"Miami, FL","8,026,654","79,243","7,947,411","4,518,353","3,429,058"
I2332,-87.875,37.92208,"Mount Vernon, IN","7,713,026","7,713,026",0,0,0
I2333,-85.760993,38.26147,"Louisville, KY","7,492,168","7,492,168",0,0,0
C0554,-75.50697,39.71589,"Wilmington, DE","7,481,031","2,371,330","5,109,701","3,984,986","1,124,715"
C0551,-75.10432,39.94305,"Camden-Gloucester, NJ","7,440,328","2,417,183","5,023,145","4,211,678","811,467"
C2420,-97.398138,25.952201,"Brownsville, TX","7,275,272","3,449,368","3,825,904","3,125,094","700,810"
C0505,-73.74816,42.64271,"Albany, NY","6,656,435","5,861,493","794,942","441,448","353,494"
I2320,-93.0619,44.95157,"St. Paul, MN","6,231,998","6,231,998",0,0,0
C0128,-70.25134,43.64951,"Portland, ME","5,817,486","1,106,638","4,710,848","4,675,315","35,533"
L3619,-83.420781,45.298455,"Stoneport, MI","5,751,199","5,334,269","416,930","22,687","394,243"
I2307,-90.046146,38.143332,"Kaskaskia, IL, Port of","5,750,588","5,750,588",0,0,0
L3509,-82.49413,42.82663,"St. Clair, MI","5,463,001","5,463,001",0,0,0
C0766,-77.953954,34.239278,"Wilmington, NC","5,414,954","528,259","4,886,695","3,187,741","1,698,954"
C2411,-96.97247,28.69131,"Victoria, TX","5,082,077","5,082,077",0,0,0
L3220,-80.5486,41.96671,"Conneaut, OH","5,061,377","3,993,023","1,068,354","17,000","1,051,354"
C2410,-96.56412,28.5954,"Matagorda Port Lv Pt Com, TX","4,896,638","2,661,776","2,234,862","760,397","1,474,465"
C2160,-80.60815,28.41409,"Port Canaveral, FL","4,826,738","1,339,105","3,487,633","3,449,443","38,190"
C4831,-151.3144,60.74793,"Nikishka, AK","4,724,918","4,002,662","722,256","363,105","359,151"
L3620,-83.7756,45.39293,"Calcite, MI","4,658,479","4,636,433","22,046",0,"22,046"
I2370,-86.77467,36.16513,"Nashville, TN","4,651,149","4,651,149",0,0,0
L3795,-87.024999,45.733509,"Escanaba, MI","4,576,446","4,511,506","64,940","2,696","62,244"
C4270,-121.3156,37.9527,"Stockton, CA","4,290,145","77,843","4,212,302","2,726,932","1,485,370"
