"","port_of_unlading","subDate","count","lon","lat"
"1","Aberdeen, Washington","2017-01-03",10,-123.818611,46.975833
"2","Aberdeen, Washington","2017-01-06",1,-123.818611,46.975833
"3","Aberdeen, Washington","2017-01-11",10,-123.818611,46.975833
"4","Aberdeen, Washington","2017-01-26",2,-123.818611,46.975833
"5","Aberdeen, Washington","2017-01-31",1,-123.818611,46.975833
"6","Aberdeen, Washington","2017-02-04",3,-123.818611,46.975833
"7","Aberdeen, Washington","2017-02-11",7,-123.818611,46.975833
"8","Aberdeen, Washington","2017-02-13",4,-123.818611,46.975833
"9","Aberdeen, Washington","2017-02-19",135,-123.818611,46.975833
"10","Aberdeen, Washington","2017-02-27",12,-123.818611,46.975833
"11","Aberdeen, Washington","2017-03-06",3,-123.818611,46.975833
"12","Aberdeen, Washington","2017-03-09",401,-123.818611,46.975833
"13","Aberdeen, Washington","2017-03-12",37,-123.818611,46.975833
"14","Aberdeen, Washington","2017-03-13",4,-123.818611,46.975833
"15","Aberdeen, Washington","2017-03-19",5,-123.818611,46.975833
"16","Aberdeen, Washington","2017-03-31",4,-123.818611,46.975833
"17","Aberdeen, Washington","2017-04-11",2,-123.818611,46.975833
"18","Aberdeen, Washington","2017-04-13",547,-123.818611,46.975833
"19","Aberdeen, Washington","2017-05-01",5,-123.818611,46.975833
"20","Aberdeen, Washington","2017-05-14",617,-123.818611,46.975833
"21","Aberdeen, Washington","2017-05-26",5,-123.818611,46.975833
"22","Aberdeen, Washington","2017-06-02",2,-123.818611,46.975833
"23","Aberdeen, Washington","2017-07-12",358,-123.818611,46.975833
"24","Aberdeen, Washington","2017-07-20",1,-123.818611,46.975833
"25","Aberdeen, Washington","2017-07-24",2,-123.818611,46.975833
"26","Aberdeen, Washington","2017-07-27",1,-123.818611,46.975833
"27","Aberdeen, Washington","2017-08-04",9,-123.818611,46.975833
"28","Aberdeen, Washington","2017-08-09",10,-123.818611,46.975833
"29","Aberdeen, Washington","2017-08-11",363,-123.818611,46.975833
"30","Aberdeen, Washington","2017-08-28",251,-123.818611,46.975833
"31","Aberdeen, Washington","2017-08-29",4,-123.818611,46.975833
"32","Aberdeen, Washington","2017-09-05",7,-123.818611,46.975833
"33","Aberdeen, Washington","2017-09-07",1,-123.818611,46.975833
