"","port_of_unlading","week","count","lon","lat"
"1","Aberdeen, Washington",1,11,-123.818611,46.975833
"2","Aberdeen, Washington",2,10,-123.818611,46.975833
"3","Aberdeen, Washington",4,2,-123.818611,46.975833
"4","Aberdeen, Washington",5,4,-123.818611,46.975833
"5","Aberdeen, Washington",6,7,-123.818611,46.975833
"6","Aberdeen, Washington",7,4,-123.818611,46.975833
"7","Aberdeen, Washington",8,135,-123.818611,46.975833
"8","Aberdeen, Washington",9,12,-123.818611,46.975833
"9","Aberdeen, Washington",10,404,-123.818611,46.975833
"10","Aberdeen, Washington",11,41,-123.818611,46.975833
"11","Aberdeen, Washington",12,5,-123.818611,46.975833
"12","Aberdeen, Washington",13,4,-123.818611,46.975833
"13","Aberdeen, Washington",15,549,-123.818611,46.975833
"14","Aberdeen, Washington",18,5,-123.818611,46.975833
"15","Aberdeen, Washington",20,617,-123.818611,46.975833
"16","Aberdeen, Washington",21,5,-123.818611,46.975833
"17","Aberdeen, Washington",22,2,-123.818611,46.975833
"18","Aberdeen, Washington",28,358,-123.818611,46.975833
"19","Aberdeen, Washington",29,1,-123.818611,46.975833
"20","Aberdeen, Washington",30,3,-123.818611,46.975833
"21","Aberdeen, Washington",31,9,-123.818611,46.975833
"22","Aberdeen, Washington",32,373,-123.818611,46.975833
"23","Aberdeen, Washington",35,255,-123.818611,46.975833
"24","Aberdeen, Washington",36,8,-123.818611,46.975833
"25","Aberdeen, Washington",39,11,-123.818611,46.975833
"26","Aberdeen, Washington",40,2,-123.818611,46.975833
"27","Aberdeen, Washington",41,6,-123.818611,46.975833
"28","Aberdeen, Washington",50,1282,-123.818611,46.975833
"29","Anchorage, Alaska",2,46,-149.895,61.23778
"30","Anchorage, Alaska",4,1,-149.895,61.23778
"31","Anchorage, Alaska",5,301,-149.895,61.23778
"32","Anchorage, Alaska",6,67,-149.895,61.23778
"33","Anchorage, Alaska",7,22,-149.895,61.23778
"34","Anchorage, Alaska",8,828,-149.895,61.23778
"35","Anchorage, Alaska",9,12,-149.895,61.23778
"36","Anchorage, Alaska",10,852,-149.895,61.23778
"37","Anchorage, Alaska",11,271,-149.895,61.23778
"38","Anchorage, Alaska",12,277,-149.895,61.23778
"39","Anchorage, Alaska",13,500,-149.895,61.23778
"40","Anchorage, Alaska",14,92,-149.895,61.23778
"41","Anchorage, Alaska",15,787,-149.895,61.23778
"42","Anchorage, Alaska",16,53,-149.895,61.23778
"43","Anchorage, Alaska",17,4,-149.895,61.23778
"44","Anchorage, Alaska",18,8,-149.895,61.23778
"45","Anchorage, Alaska",19,194,-149.895,61.23778
"46","Anchorage, Alaska",20,27,-149.895,61.23778
"47","Anchorage, Alaska",21,140,-149.895,61.23778
"48","Anchorage, Alaska",22,403,-149.895,61.23778
"49","Anchorage, Alaska",23,7,-149.895,61.23778
"50","Anchorage, Alaska",24,3,-149.895,61.23778
"51","Anchorage, Alaska",27,227,-149.895,61.23778
"52","Anchorage, Alaska",28,35,-149.895,61.23778
"53","Anchorage, Alaska",29,1683,-149.895,61.23778
"54","Anchorage, Alaska",30,794,-149.895,61.23778
"55","Anchorage, Alaska",31,836,-149.895,61.23778
"56","Anchorage, Alaska",32,222,-149.895,61.23778
"57","Anchorage, Alaska",33,1,-149.895,61.23778
"58","Anchorage, Alaska",34,1,-149.895,61.23778
"59","Anchorage, Alaska",35,296,-149.895,61.23778
"60","Anchorage, Alaska",36,170,-149.895,61.23778
"61","Anchorage, Alaska",37,319,-149.895,61.23778
"62","Anchorage, Alaska",38,399,-149.895,61.23778
"63","Anchorage, Alaska",39,196,-149.895,61.23778
"64","Anchorage, Alaska",40,6,-149.895,61.23778
"65","Anchorage, Alaska",41,133,-149.895,61.23778
"66","Anchorage, Alaska",42,106,-149.895,61.23778
"67","Anchorage, Alaska",43,153,-149.895,61.23778
"68","Anchorage, Alaska",51,6,-149.895,61.23778
"69","Baltimore, Maryland",1,16772,-76.51712,39.20899
"70","Baltimore, Maryland",2,13014,-76.51712,39.20899
"71","Baltimore, Maryland",3,356,-76.51712,39.20899
"72","Baltimore, Maryland",4,21216,-76.51712,39.20899
"73","Baltimore, Maryland",5,15666,-76.51712,39.20899
"74","Baltimore, Maryland",6,14748,-76.51712,39.20899
"75","Baltimore, Maryland",7,22309,-76.51712,39.20899
"76","Baltimore, Maryland",8,18522,-76.51712,39.20899
"77","Baltimore, Maryland",9,17252,-76.51712,39.20899
"78","Baltimore, Maryland",10,7606,-76.51712,39.20899
"79","Baltimore, Maryland",11,14322,-76.51712,39.20899
"80","Baltimore, Maryland",12,15602,-76.51712,39.20899
"81","Baltimore, Maryland",13,16230,-76.51712,39.20899
"82","Baltimore, Maryland",14,14427,-76.51712,39.20899
"83","Baltimore, Maryland",15,18258,-76.51712,39.20899
"84","Baltimore, Maryland",16,11799,-76.51712,39.20899
"85","Baltimore, Maryland",17,16694,-76.51712,39.20899
"86","Baltimore, Maryland",18,20738,-76.51712,39.20899
"87","Baltimore, Maryland",19,19607,-76.51712,39.20899
